9/3/13,12/13/13,MW,2,12.00.00,1:15,ANTH0001,2;
9/3/13,12/13/13,MW,2,13.30.00,1:15,ANTH0013,1;
9/3/13,12/13/13,TR,3,13.30.00,1:15,BIO0010,2;
9/3/13,12/13/13,M,3,16.30.00,0:50,BIO0125,1;
9/3/13,12/13/13,MW,2,10.30.00,1:15,CHDV0123,1;
9/3/13,12/13/13,T,3,15.00.00,2:50,CHDV0136,2;
9/3/13,12/13/13,T,2,16.30.00,2:50,CHDV0139,1;
9/3/13,12/13/13,TR,3,09.00.00,1:15,CPE0064,1;
9/3/13,12/13/13,TR,3,10.30.00,1:15,CPE0185,1;
9/3/13,12/13/13,TR,1,10.30.00,1:15,CRJ0121,3;
9/3/13,12/13/13,M,1,13.00.00,0:50,DEAF0052,7;
9/3/13,12/13/13,M,1,14.30.00,0:50,DEAF0053,1;
9/9/13,11/6/13,M,1,16.00.00,2:50,EDS100A,1;
9/4/13,11/6/13,W,1,16.00.00,2:50,EDS100A,3;
9/3/13,12/13/13,W,3,16.00.00,1:50,EDS130A,1;
9/3/13,12/13/13,T,1,16.00.00,1:50,EDS230A,1;
9/3/13,12/13/13,M,1,19.00.00,2:50,EDUC0120,1;
9/3/13,12/13/13,TR,3,09.00.00,1:15,EEE0064,1;
9/3/13,12/13/13,TR,3,10.30.00,1:15,EEE0174,1;
9/3/13,12/13/13,TR,3,12.00.00,1:15,GEOL0008,2;
9/3/13,12/13/13,F,3,09.00.00,2:50,GERO0100,1;
9/3/13,12/13/13,TR,2,09.00.00,1:15,GOVT0001,11;
9/3/13,12/13/13,MW,2,09.00.00,1:15,HROB0101,1;
9/3/13,12/13/13,MW,3,12.00.00,1:15,HROB0151,1;
9/3/13,12/13/13,TR,2,12.00.00,1:15,MATH0001,14;
9/3/13,12/13/13,MW,3,09.00.00,1:15,MGMT0101,1;
9/3/13,12/13/13,TR,1,09.00.00,1:15,MGMT0102,4;
9/3/13,12/13/13,TR,1,19.30.00,1:15,MGMT0102,10;
9/3/13,12/13/13,R,2,16.30.00,1:50,NURS0014,1;
9/3/13,12/13/13,F,2,09.00.00,2:50,NURS0129,1;
9/3/13,12/13/13,TR,1,12.00.00,1:15,PHIL0006,5;
9/3/13,12/13/13,MW,1,10.00.00,1:15,PHIL0026,3;
9/3/13,12/13/13,MW,1,11.30.00,1:15,PHIL0103,2;
9/3/13,12/13/13,MW,3,13.30.00,1:15,PHIL0104,2;
9/3/13,12/13/13,M,3,18.00.00,2:50,PPA220A,1;
